funcs,n,percent,valid_percent
summarise(),1,0.0037593984962406013,0.0045045045045045045
tidy(),1,0.0037593984962406013,0.0045045045045045045
with_groups(),1,0.0037593984962406013,0.0045045045045045045
with_tz(),1,0.0037593984962406013,0.0045045045045045045
write_csv(),1,0.0037593984962406013,0.0045045045045045045
ymd*(),1,0.0037593984962406013,0.0045045045045045045
ymd_hms(),1,0.0037593984962406013,0.0045045045045045045
zap_label(),1,0.0037593984962406013,0.0045045045045045045
{janitor},1,0.0037593984962406013,0.0045045045045045045
{readr},1,0.0037593984962406013,0.0045045045045045045
{tsibble},1,0.0037593984962406013,0.0045045045045045045
